,Label,Grade,Pixel1,Pixel2,Pixel3,Pixel4,Pixel5,Pixel6,Pixel7,Pixel8,Pixel9,Pixel10,Pixel11,Pixel12,Pixel13,Pixel14,Pixel15,Pixel16,Pixel17,Pixel18,Pixel19,Pixel20,Pixel21,Pixel22,Pixel23,Pixel24,Pixel25,Pixel26,Pixel27,Pixel28,Pixel29,Pixel30,Pixel31,Pixel32,Pixel33,Pixel34,Pixel35,Pixel36,Pixel37,Pixel38,Pixel39,Pixel40,Pixel41,Pixel42,Pixel43,Pixel44,Pixel45,Pixel46,Pixel47,Pixel48,Pixel49,Pixel50,Pixel51,Pixel52,Pixel53,Pixel54,Pixel55,Pixel56,Pixel57,Pixel58,Pixel59,Pixel60,Pixel61,Pixel62,Pixel63,Pixel64,Pixel65,Pixel66,Pixel67,Pixel68,Pixel69,Pixel70,Pixel71,Pixel72,Pixel73,Pixel74,Pixel75,Pixel76,Pixel77,Pixel78,Pixel79,Pixel80,Pixel81,Pixel82,Pixel83,Pixel84,Pixel85,Pixel86,Pixel87,Pixel88,Pixel89,Pixel90,Pixel91,Pixel92,Pixel93,Pixel94,Pixel95,Pixel96,Pixel97,Pixel98,Pixel99,Pixel100,Pixel101,Pixel102,Pixel103,Pixel104,Pixel105,Pixel106,Pixel107,Pixel108,Pixel109,Pixel110,Pixel111,Pixel112,Pixel113,Pixel114,Pixel115,Pixel116,Pixel117,Pixel118,Pixel119,Pixel120,Pixel121,Pixel122,Pixel123,Pixel124,Pixel125,Pixel126,Pixel127,Pixel128,Pixel129,Pixel130,Pixel131,Pixel132,Pixel133,Pixel134,Pixel135,Pixel136,Pixel137,Pixel138,Pixel139,Pixel140,Pixel141,Pixel142,Pixel143,Pixel144
39,31.0,7.0,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.01,1.0,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,1.0,0.01,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,1.0,0.01,1.0,1.0,1.0,0.01,0.01,0.01,1.0,0.01,1.0,0.01,1.0,0.01,1.0,1.0,1.0,0.01,1.0
40,32.0,6.0,0.01,1.0,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,0.01,0.01,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.01,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,0.01,1.0
46,14.0,8.0,0.01,1.0,1.0,1.0,0.01,0.01,0.01,1.0,0.01,0.01,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.01,1.0,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,1.0,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.01,0.01,0.01,1.0,0.01,0.01,0.01,1.0,1.0,1.0,0.01,1.0,0.01,1.0,1.0,1.0,0.01,1.0,0.01,1.0,1.0,1.0,0.01,1.0,0.01,0.01,0.01,1.0,0.01,1.0,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,6.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.01,0.01,0.01,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,0.01,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.01,0.01,0.01,1.0,0.01,1.0,1.0,1.0,0.01,0.01,0.01,1.0,1.0,1.0,0.01,1.0,0.01,1.0,1.0,1.0,0.01,1.0,0.01,0.01,0.01,0.01,0.01,1.0,0.01,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,11.0,2.0,1.0,1.0,1.0,1.0,0.01,1.0,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,0.01,0.01,0.01,1.0,0.01,0.01,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.01,1.0,0.01,1.0,1.0,1.0
61,17.0,5.0,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,0.01,1.0,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,0.01,1.0,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,0.01,1.0,0.01,1.0
72,2.0,5.0,0.01,1.0,1.0,1.0,0.01,0.01,0.01,1.0,1.0,1.0,0.01,0.01,1.0,1.0,1.0,1.0,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,1.0,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0
73,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,1.0,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,1.0,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,39.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,0.01,1.0
78,18.0,4.0,0.01,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.01,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.01,1.0,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
